epoch,train_loss,val_loss,lr,time
1,9.6611,6.0756,0.001000,49.9
2,4.5475,4.3756,0.001000,45.3
3,4.3174,4.1828,0.001000,44.4
4,4.1624,4.0823,0.001000,57.9
5,4.1222,4.0652,0.001000,57.2
6,3.9866,3.9185,0.001000,58.7
7,3.8535,3.7892,0.001000,59.9
8,3.6984,3.5564,0.001000,58.4
9,3.5257,3.5789,0.001000,47.5
10,3.2098,3.0772,0.001000,46.0
11,2.7886,2.6074,0.001000,46.1
12,2.3236,2.3734,0.001000,51.8
13,2.0299,1.9545,0.001000,56.1
14,1.7751,1.7386,0.001000,59.9
15,1.5454,1.7243,0.001000,57.5
16,1.3638,1.4179,0.001000,58.6
17,1.1949,1.3044,0.001000,54.6
18,1.0826,1.2994,0.001000,58.9
19,1.0206,1.2266,0.001000,59.4
20,0.8829,1.0759,0.001000,60.5
21,0.8838,0.9665,0.001000,59.3
22,0.7294,0.9066,0.001000,59.6
23,0.6711,0.8440,0.001000,61.6
24,0.6450,0.7544,0.001000,61.0
25,0.6009,0.7508,0.001000,60.6
26,0.5695,0.7920,0.001000,60.8
27,0.4855,0.6983,0.001000,60.6
28,0.4539,0.6683,0.001000,60.4
29,0.4503,0.6615,0.001000,58.5
30,0.4011,0.5826,0.001000,60.4
31,0.4072,0.6211,0.001000,59.5
32,0.3678,0.5834,0.001000,61.2
33,0.3870,0.6209,0.001000,54.2
34,0.3999,0.5493,0.001000,44.8
35,0.3501,0.5020,0.001000,44.9
36,0.3206,0.5572,0.001000,45.0
37,0.2846,0.4853,0.001000,46.1
38,0.2620,0.4495,0.001000,46.9
39,0.2777,0.4677,0.001000,49.5
40,0.2870,0.4727,0.001000,53.0
41,0.2695,0.4735,0.001000,61.4
42,0.1997,0.4206,0.001000,58.1
43,0.2334,0.4595,0.001000,50.8
44,0.2319,0.4022,0.001000,50.3
45,0.2434,0.4251,0.001000,59.4
46,0.2196,0.4075,0.001000,55.8
47,0.1823,0.4101,0.001000,55.7
48,0.2180,0.3672,0.001000,55.8
49,0.2142,0.4255,0.001000,47.1
50,0.1892,0.4887,0.001000,59.6
51,0.1911,0.4102,0.001000,48.7
52,0.1771,0.3594,0.001000,45.1
53,0.2025,0.4364,0.001000,45.7
54,0.2011,0.3803,0.001000,51.4
55,0.1798,0.4125,0.001000,58.5
56,0.1703,0.4336,0.001000,59.8
57,0.2112,0.4424,0.001000,53.6
58,0.1888,0.3927,0.000500,61.7
59,0.1292,0.3606,0.000500,57.5
60,0.1152,0.3306,0.000500,50.1
61,0.1183,0.3660,0.000500,44.8
62,0.0927,0.3409,0.000500,44.6
63,0.1168,0.3183,0.000500,44.8
64,0.1329,0.3060,0.000500,44.2
65,0.1117,0.3252,0.000500,44.9
66,0.1074,0.3177,0.000500,46.5
67,0.1094,0.3089,0.000500,54.9
68,0.1142,0.3406,0.000500,57.0
69,0.1134,0.3272,0.000500,56.2
70,0.1049,0.3523,0.000250,49.3
71,0.0915,0.3100,0.000250,58.0
72,0.1118,0.2929,0.000250,44.9
73,0.0889,0.2871,0.000250,45.1
74,0.0687,0.2885,0.000250,50.1
75,0.0759,0.2674,0.000250,55.3
76,0.0839,0.2796,0.000250,54.4
77,0.0939,0.2698,0.000250,45.4
78,0.0829,0.2526,0.000250,53.6
79,0.0896,0.2599,0.000250,54.6
80,0.0827,0.2626,0.000250,60.3
81,0.0803,0.2561,0.000250,58.8
82,0.0824,0.2681,0.000250,56.7
83,0.0783,0.2681,0.000250,55.8
84,0.0846,0.2507,0.000250,60.1
85,0.0769,0.2630,0.000250,56.5
