epoch,train_loss,val_loss,val_cer,lr,time
1,6.3959,3.4991,0.9802,0.001000,55.8
2,2.5184,1.3739,0.4252,0.001000,53.6
3,0.9614,0.6051,0.2569,0.001000,51.9
4,0.5697,0.3890,0.2125,0.001000,51.8
5,0.4310,0.2907,0.1924,0.001000,53.7
6,0.3426,0.2063,0.1757,0.001000,51.4
7,0.2746,0.1965,0.1735,0.001000,51.7
8,0.2630,0.1518,0.1667,0.001000,52.4
9,0.2179,0.1363,0.1612,0.001000,50.8
10,0.2027,0.1123,0.1584,0.001000,51.5
11,0.2256,0.1295,0.1606,0.001000,53.3
12,0.1849,0.1128,0.1577,0.001000,51.7
13,0.1688,0.1183,0.1600,0.001000,51.1
14,0.1506,0.0939,0.1547,0.001000,53.1
15,0.1529,0.1037,0.1547,0.001000,50.4
16,0.1470,0.0874,0.1528,0.001000,52.3
17,0.1333,0.0859,0.1522,0.001000,51.2
18,0.1331,0.0697,0.1504,0.001000,53.1
19,0.1138,0.0716,0.1504,0.001000,51.9
20,0.1214,0.0756,0.1498,0.001000,51.7
21,0.1128,0.0739,0.1525,0.001000,51.6
22,0.1215,0.0975,0.1550,0.001000,50.8
23,0.1254,0.0703,0.1515,0.001000,53.0
24,0.1068,0.0503,0.1463,0.001000,51.4
25,0.0885,0.0581,0.1493,0.001000,51.3
26,0.0999,0.0685,0.1490,0.001000,51.8
27,0.0956,0.0620,0.1490,0.001000,51.7
28,0.1034,0.0749,0.1514,0.001000,52.8
29,0.0922,0.0452,0.1456,0.001000,53.6
30,0.0875,0.0689,0.1488,0.001000,52.1
31,0.0949,0.0746,0.1491,0.001000,51.5
32,0.0914,0.0580,0.1475,0.001000,50.6
33,0.0953,0.0541,0.1476,0.001000,52.4
34,0.0880,0.0488,0.1459,0.001000,50.9
35,0.0731,0.0472,0.1451,0.000500,52.6
36,0.0614,0.0313,0.1427,0.000500,50.3
37,0.0554,0.0369,0.1443,0.000500,53.1
38,0.0482,0.0300,0.1424,0.000500,52.4
39,0.0526,0.0291,0.1425,0.000500,53.0
40,0.0507,0.0316,0.1418,0.000500,52.3
41,0.0544,0.0344,0.1442,0.000500,52.8
42,0.0543,0.0339,0.1442,0.000500,54.9
43,0.0522,0.0313,0.1429,0.000500,52.9
44,0.0493,0.0392,0.1426,0.000500,52.5
45,0.0592,0.0399,0.1441,0.000250,51.7
46,0.0546,0.0269,0.1418,0.000250,53.0
47,0.0435,0.0283,0.1415,0.000250,53.5
48,0.0449,0.0275,0.1413,0.000250,51.8
49,0.0413,0.0233,0.1410,0.000250,50.9
50,0.0421,0.0222,0.1405,0.000250,51.6
51,0.0365,0.0245,0.1412,0.000250,51.4
52,0.0415,0.0248,0.1405,0.000250,51.3
53,0.0416,0.0229,0.1409,0.000250,52.0
54,0.0415,0.0256,0.1416,0.000250,52.0
55,0.0442,0.0235,0.1408,0.000250,51.0
56,0.0400,0.0242,0.1413,0.000125,53.6
57,0.0413,0.0234,0.1408,0.000125,53.4
58,0.0407,0.0204,0.1404,0.000125,51.5
59,0.0372,0.0193,0.1402,0.000125,52.1
60,0.0359,0.0214,0.1405,0.000125,53.9
61,0.0341,0.0227,0.1412,0.000125,51.7
62,0.0324,0.0225,0.1409,0.000125,53.5
63,0.0351,0.0194,0.1401,0.000125,51.6
64,0.0337,0.0209,0.1405,0.000125,53.0
